id,date,invoice_number,state,customer_company_id,id,name,city,country,finance_number,sales_order_id
2611,2019-01-24,14569,complete,16,16,PayThem.Net WLL,Doha,QA,,
2612,2019-01-24,14469,complete,41,41,MOL AccessPortal Sdn Bhd,Kuala Lumpur,MY,,
2613,2019-01-24,14542,complete,114,114,EZ PAY CARDS FZ LLC,Ras AlKhaimah,AE,,
2614,2019-01-24,14486-RR,complete,16,16,PayThem.Net WLL,Doha,QA,,
2615,2019-01-24,T.O # 417,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2616,2019-01-24,14571,complete,13,13,Brandizer (Future Technology Solutions),Amman,JO,,
2617,2019-01-24,T.O # 418,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2618,2019-01-25,14568,complete,12,12,VERVE MULTIMEDIA INC,Pasay City,PH,,
2619,2019-01-25,14574,complete,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2620,2019-01-25,14575,complete,34,34,CEDAR PARK SALES LLC,CEDAR PARK,US,,
2621,2019-01-25,14576,complete,107,107,Global Deal d.o.o,Makarska,HR,,
2622,2019-01-25,14577,complete,33,33,BNB CARD CO. LTD,BANGKOK,TH,,
2623,2019-01-25,14578,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2624,2019-01-25,14584,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2625,2019-01-25,14585,complete,111,111,Fullcodigos Limitada,Racagua,CD,,
2626,2019-01-25,14579,complete,7,7,PLAY-ASIA.COM (USD),Lai Chi Kok,HK,,
2627,2019-01-25,14583,complete,18,18,Skincell,Santa Cruz,BO,,
2628,2019-01-25,14582,complete,20,20,MyGiftCardSupply,Boulder,US,,
2629,2019-01-25,14581,complete,44,44,Anas Al-Shaar,Riyadh-11671,SA,,
2630,2019-01-25,14580,complete,28,28,Onequark SPA,Santiago,CL,,
2631,2019-01-25,14551,complete,41,41,MOL AccessPortal Sdn Bhd,Kuala Lumpur,MY,,
2632,2019-01-25,14529,complete,124,124,OSOOL MEDIA CO.,Doha,QA,,
2633,2019-01-25,14587,complete,55,55,MICROSIS SRL,Ciudad Autonoma,AR,,
2634,2019-01-25,14588,complete,28,28,Onequark SPA,Santiago,CL,,
2635,2019-01-25,T.O # 419,complete,86,86,SCRATCH MONKEYS (USD),,US,,
2636,2019-01-25,14590,complete,9,9,G4Y GAMES LLC,New Rochelle,US,,
2637,2019-01-28,14594,complete,112,112,"PROWELL ASIA HOLDINGS, LTD",KOWLOON,HK,,
2638,2019-01-28,14540,complete,42,42,DEIMAN UNITED LTD,Victoria,SC,,
2639,2019-01-28,14602,complete,18,18,Skincell,Santa Cruz,BO,,
